query_index,query_name,candidate_rank,candidate_name,overall_score,weight_pattern,token_overlap,core_ngram,core_levenshtein,keywords,ngram,levenshtein,type_pattern
0,Pure Prana Pulse AIO Disposable - Rainbow Belts Live Resin - Hybrid - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,58.67,100.0,20.0,38.70967741935484,38.70967741935484,36.36363636363637,44.44444444444444,44.44444444444444,50.0
0,Pure Prana Pulse AIO Disposable - Rainbow Belts Live Resin - Hybrid - 1mL,2,Honey Beltz Live Resin 1.0g,47.64,100.0,20.0,37.03703703703704,37.03703703703704,18.181818181818183,40.0,40.0,50.0
0,Pure Prana Pulse AIO Disposable - Rainbow Belts Live Resin - Hybrid - 1mL,3,Papaya Juice Live Resin 1.0g,46.72,100.0,20.0,36.36363636363637,36.36363636363637,18.181818181818183,39.603960396039604,39.603960396039604,50.0
0,Pure Prana Pulse AIO Disposable - Rainbow Belts Live Resin - Hybrid - 1mL,4,Fried Strawberry Honey Crystal 1.0g,43.87,100.0,0.0,35.820895522388064,35.820895522388064,0.0,25.92592592592593,25.92592592592593,50.0
0,Pure Prana Pulse AIO Disposable - Rainbow Belts Live Resin - Hybrid - 1mL,5,Runtz Live Resin 1.0g,43.69,100.0,20.0,33.333333333333336,33.333333333333336,18.181818181818183,34.04255319148937,34.04255319148937,50.0
1,Pure Prana Pulse AIO Disposable - Durban Poison Live Resin - Sativa Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,53.01,100.0,20.0,34.375,34.375,33.33333333333333,40.27777777777778,40.27777777777778,50.0
1,Pure Prana Pulse AIO Disposable - Durban Poison Live Resin - Sativa Dominant - 1mL,2,Papaya Juice Live Resin 1.0g,44.83,100.0,20.0,35.08771929824561,35.08771929824561,16.666666666666664,36.36363636363637,36.36363636363637,50.0
1,Pure Prana Pulse AIO Disposable - Durban Poison Live Resin - Sativa Dominant - 1mL,3,Grape Gas Liquid Diamond Vaporizer 1.0g,43.67,100.0,0.0,35.61643835616438,35.61643835616438,0.0,31.404958677685947,31.404958677685947,50.0
1,Pure Prana Pulse AIO Disposable - Durban Poison Live Resin - Sativa Dominant - 1mL,4,Super Boof Liquid Diamond Vaporizer 1.0g,43.19,100.0,0.0,35.13513513513513,35.13513513513513,0.0,31.147540983606557,31.147540983606557,50.0
1,Pure Prana Pulse AIO Disposable - Durban Poison Live Resin - Sativa Dominant - 1mL,5,Blueberry Pancakes Liquid Diamond Vaporizer 1.0g,42.20,100.0,0.0,34.14634146341463,34.14634146341463,0.0,32.30769230769231,32.30769230769231,50.0
2,Pure Prana Pulse AIO Disposable - Lemon Tree Live Resin - Sativa Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,54.69,100.0,20.0,36.065573770491795,36.065573770491795,33.33333333333333,39.71631205673759,39.71631205673759,50.0
2,Pure Prana Pulse AIO Disposable - Lemon Tree Live Resin - Sativa Dominant - 1mL,2,Papaya Juice Live Resin 1.0g,52.52,100.0,20.0,40.74074074074075,40.74074074074075,16.666666666666664,37.383177570093466,37.383177570093466,50.0
2,Pure Prana Pulse AIO Disposable - Lemon Tree Live Resin - Sativa Dominant - 1mL,3,Lemon Slushie Live Resin Vaporizer 1.0g,50.65,100.0,25.0,37.28813559322034,37.28813559322034,25.0,40.67796610169492,40.67796610169492,50.0
2,Pure Prana Pulse AIO Disposable - Lemon Tree Live Resin - Sativa Dominant - 1mL,4,Pineapple Express Honey Crystal 1.0g,46.86,100.0,0.0,38.80597014925373,38.80597014925373,0.0,31.304347826086953,31.304347826086953,50.0
2,Pure Prana Pulse AIO Disposable - Lemon Tree Live Resin - Sativa Dominant - 1mL,5,Watermelon Crush Sugar Cone *2 Pack* 1.0g,45.73,100.0,0.0,37.68115942028986,37.68115942028986,0.0,30.000000000000004,30.000000000000004,50.0
3,Pure Prana Pulse AIO Disposable - Skunk #1 Live Resin - Hybrid - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,95.00,100.0,20.0,36.36363636363637,36.36363636363637,40.0,43.07692307692308,43.07692307692308,50.0
3,Pure Prana Pulse AIO Disposable - Skunk #1 Live Resin - Hybrid - 1mL,2,Fried Strawberry Honey Crystal 1.0g,0.00,100.0,0.0,26.66666666666667,26.66666666666667,0.0,27.184466019417474,27.184466019417474,50.0
3,Pure Prana Pulse AIO Disposable - Skunk #1 Live Resin - Hybrid - 1mL,3,Gello Shotz Honey Crystal 1.0g,0.00,100.0,0.0,25.454545454545453,25.454545454545453,0.0,22.44897959183674,22.44897959183674,50.0
3,Pure Prana Pulse AIO Disposable - Skunk #1 Live Resin - Hybrid - 1mL,4,Fried Ice Cream Honey Crystal 1.0g,0.00,100.0,0.0,27.118644067796616,27.118644067796616,0.0,25.49019607843137,25.49019607843137,50.0
3,Pure Prana Pulse AIO Disposable - Skunk #1 Live Resin - Hybrid - 1mL,5,GMO Honey Crystal 1.0g,0.00,100.0,0.0,21.276595744680847,21.276595744680847,0.0,19.999999999999996,19.999999999999996,50.0
4,Pure Prana Pulse AIO Disposable - GMO Live Resin - Indica Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,47.77,100.0,20.0,29.629629629629626,29.629629629629626,36.36363636363637,43.28358208955224,43.28358208955224,50.0
4,Pure Prana Pulse AIO Disposable - GMO Live Resin - Indica Dominant - 1mL,2,Papaya Juice Live Resin 1.0g,44.40,100.0,20.0,34.04255319148937,34.04255319148937,18.181818181818183,40.0,40.0,50.0
4,Pure Prana Pulse AIO Disposable - GMO Live Resin - Indica Dominant - 1mL,3,GMO Honey Crystal 1.0g,43.21,100.0,30.0,34.78260869565217,34.78260869565217,9.090909090909092,21.276595744680847,21.276595744680847,50.0
4,Pure Prana Pulse AIO Disposable - GMO Live Resin - Indica Dominant - 1mL,4,Grape Gas Liquid Diamond Vaporizer 1.0g,42.97,100.0,0.0,34.92063492063492,34.92063492063492,0.0,34.23423423423423,34.23423423423423,50.0
4,Pure Prana Pulse AIO Disposable - GMO Live Resin - Indica Dominant - 1mL,5,Grape Gas Honey Crystal 1.0g,42.66,100.0,0.0,34.61538461538461,34.61538461538461,0.0,26.0,26.0,50.0
5,Pure Prana Pulse AIO Disposable - Terpee Slurpee Live Resin - Indica Dominant - 1mL,1,Papaya Juice Live Resin 1.0g,47.91,100.0,20.0,37.93103448275862,37.93103448275862,16.666666666666664,36.03603603603604,36.03603603603604,50.0
5,Pure Prana Pulse AIO Disposable - Terpee Slurpee Live Resin - Indica Dominant - 1mL,2,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,47.68,100.0,20.0,30.76923076923077,30.76923076923077,33.33333333333333,41.379310344827594,41.379310344827594,50.0
5,Pure Prana Pulse AIO Disposable - Terpee Slurpee Live Resin - Indica Dominant - 1mL,3,Watermelon Crush Sugar Cone *2 Pack* 1.0g,46.40,100.0,0.0,38.35616438356164,38.35616438356164,0.0,27.419354838709676,27.419354838709676,50.0
5,Pure Prana Pulse AIO Disposable - Terpee Slurpee Live Resin - Indica Dominant - 1mL,4,Grape Gas Liquid Diamond Vaporizer 1.0g,45.89,100.0,0.0,37.83783783783784,37.83783783783784,0.0,29.508196721311474,29.508196721311474,50.0
5,Pure Prana Pulse AIO Disposable - Terpee Slurpee Live Resin - Indica Dominant - 1mL,5,Runtz Live Resin 1.0g,45.26,100.0,20.0,35.29411764705882,35.29411764705882,16.666666666666664,28.846153846153843,28.846153846153843,50.0
6,Original Prana Pulse AIO Disposable - GMO Cake Live Resin - Indica Dominant - 1mL,1,Wedding Cake Live Resin 1.0g,52.70,100.0,25.0,39.34426229508197,39.34426229508197,25.0,36.69724770642202,36.69724770642202,50.0
6,Original Prana Pulse AIO Disposable - GMO Cake Live Resin - Indica Dominant - 1mL,2,Ice Cream Cake Honey Crystal 1.0g,50.67,100.0,16.666666666666664,42.25352112676056,42.25352112676056,8.333333333333332,28.07017543859649,28.07017543859649,50.0
6,Original Prana Pulse AIO Disposable - GMO Cake Live Resin - Indica Dominant - 1mL,3,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,49.91,100.0,16.666666666666664,41.463414634146346,41.463414634146346,8.333333333333332,35.199999999999996,35.199999999999996,50.0
6,Original Prana Pulse AIO Disposable - GMO Cake Live Resin - Indica Dominant - 1mL,4,Wedding Cake Cured Resin Vaporizer 1.0g,46.36,100.0,20.0,36.61971830985915,36.61971830985915,16.666666666666664,35.0,35.0,50.0
6,Original Prana Pulse AIO Disposable - GMO Cake Live Resin - Indica Dominant - 1mL,5,Papaya Juice Live Resin 1.0g,45.81,100.0,20.0,36.065573770491795,36.065573770491795,16.666666666666664,36.69724770642202,36.69724770642202,50.0
7,Original Prana Pulse AIO Disposable - California Orange Live Resin - Sativa Dominant - 1mL,1,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,45.41,100.0,0.0,37.362637362637365,37.362637362637365,0.0,31.343283582089555,31.343283582089555,50.0
7,Original Prana Pulse AIO Disposable - California Orange Live Resin - Sativa Dominant - 1mL,2,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,44.25,100.0,20.0,31.16883116883117,31.16883116883117,25.0,39.473684210526315,39.473684210526315,50.0
7,Original Prana Pulse AIO Disposable - California Orange Live Resin - Sativa Dominant - 1mL,3,Papaya Juice Live Resin 1.0g,44.03,100.0,20.0,34.285714285714285,34.285714285714285,16.666666666666664,33.89830508474576,33.89830508474576,50.0
7,Original Prana Pulse AIO Disposable - California Orange Live Resin - Sativa Dominant - 1mL,4,Blueberry Pancakes Liquid Diamond Vaporizer 1.0g,43.84,100.0,0.0,35.78947368421053,35.78947368421053,0.0,31.88405797101449,31.88405797101449,50.0
7,Original Prana Pulse AIO Disposable - California Orange Live Resin - Sativa Dominant - 1mL,5,Golden Pineapple Live Resin Vaporizer 1.0g,43.08,100.0,20.0,33.333333333333336,33.333333333333336,16.666666666666664,39.39393939393939,39.39393939393939,50.0
8,Original Prana Pulse AIO Disposable - Lemon Drop Live Resin - Sativa Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,47.37,100.0,20.0,34.285714285714285,34.285714285714285,25.0,41.379310344827594,41.379310344827594,50.0
8,Original Prana Pulse AIO Disposable - Lemon Drop Live Resin - Sativa Dominant - 1mL,2,Golden Pineapple Live Resin Vaporizer 1.0g,46.37,100.0,20.0,36.61971830985915,36.61971830985915,16.666666666666664,40.0,40.0,50.0
8,Original Prana Pulse AIO Disposable - Lemon Drop Live Resin - Sativa Dominant - 1mL,3,Pineapple Express Honey Crystal 1.0g,44.89,100.0,0.0,36.8421052631579,36.8421052631579,0.0,31.932773109243694,31.932773109243694,50.0
8,Original Prana Pulse AIO Disposable - Lemon Drop Live Resin - Sativa Dominant - 1mL,4,Papaya Juice Live Resin 1.0g,44.67,100.0,20.0,34.92063492063492,34.92063492063492,16.666666666666664,36.03603603603604,36.03603603603604,50.0
8,Original Prana Pulse AIO Disposable - Lemon Drop Live Resin - Sativa Dominant - 1mL,5,Blueberry Pancakes Liquid Diamond Vaporizer 1.0g,44.42,100.0,0.0,36.36363636363637,36.36363636363637,0.0,32.06106870229007,32.06106870229007,50.0
9,Original Prana Pulse AIO Disposable - Granddaddy Purple Live Resin - Indica Dominant - 1mL,1,Golden Pineapple Live Resin Vaporizer 1.0g,45.64,100.0,20.0,35.89743589743589,35.89743589743589,16.666666666666664,40.90909090909091,40.90909090909091,50.0
9,Original Prana Pulse AIO Disposable - Granddaddy Purple Live Resin - Indica Dominant - 1mL,2,Grape Gas Liquid Diamond Vaporizer 1.0g,42.94,100.0,0.0,34.883720930232556,34.883720930232556,0.0,31.007751937984494,31.007751937984494,50.0
9,Original Prana Pulse AIO Disposable - Granddaddy Purple Live Resin - Indica Dominant - 1mL,3,Pineapple Express Honey Crystal 1.0g,41.78,100.0,0.0,33.734939759036145,33.734939759036145,0.0,28.57142857142857,28.57142857142857,50.0
9,Original Prana Pulse AIO Disposable - Granddaddy Purple Live Resin - Indica Dominant - 1mL,4,Blueberry Pancakes Liquid Diamond Vaporizer 1.0g,41.74,100.0,0.0,33.684210526315795,33.684210526315795,0.0,33.333333333333336,33.333333333333336,50.0
9,Original Prana Pulse AIO Disposable - Granddaddy Purple Live Resin - Indica Dominant - 1mL,5,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,41.65,100.0,20.0,28.57142857142857,28.57142857142857,25.0,42.10526315789473,42.10526315789473,50.0
10,Honey Tree LR AIO Disposable Vape - Lemon Haze - Sativa Dominant - 1mL,1,Honey Beltz Live Resin 1.0g,52.53,100.0,25.0,42.622950819672134,42.622950819672134,10.0,35.051546391752574,35.051546391752574,50.0
10,Honey Tree LR AIO Disposable Vape - Lemon Haze - Sativa Dominant - 1mL,2,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,48.83,100.0,0.0,40.476190476190474,40.476190476190474,0.0,33.04347826086956,33.04347826086956,50.0
10,Honey Tree LR AIO Disposable Vape - Lemon Haze - Sativa Dominant - 1mL,3,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,46.61,100.0,0.0,38.55421686746988,38.55421686746988,0.0,35.08771929824561,35.08771929824561,50.0
10,Honey Tree LR AIO Disposable Vape - Lemon Haze - Sativa Dominant - 1mL,4,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,44.89,100.0,0.0,36.8421052631579,36.8421052631579,0.0,29.09090909090909,29.09090909090909,50.0
10,Honey Tree LR AIO Disposable Vape - Lemon Haze - Sativa Dominant - 1mL,5,Watermelon Crush Sugar Cone *2 Pack* 1.0g,44.41,100.0,0.0,36.36363636363637,36.36363636363637,0.0,28.828828828828833,28.828828828828833,50.0
11,Honey Tree LR AIO Disposable Vape - Jet Fuel - Hybrid - 1mL,1,Honey Beltz Live Resin 1.0g,55.57,100.0,25.0,45.614035087719294,45.614035087719294,11.11111111111111,37.2093023255814,37.2093023255814,50.0
11,Honey Tree LR AIO Disposable Vape - Jet Fuel - Hybrid - 1mL,2,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,47.21,100.0,33.57142857142857,33.333333333333336,33.333333333333336,22.22222222222222,28.282828282828287,28.282828282828287,50.0
11,Honey Tree LR AIO Disposable Vape - Jet Fuel - Hybrid - 1mL,3,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,45.55,100.0,0.0,37.5,37.5,0.0,34.61538461538461,34.61538461538461,50.0
11,Honey Tree LR AIO Disposable Vape - Jet Fuel - Hybrid - 1mL,4,GMO Honey Crystal 1.0g,43.16,100.0,25.0,35.08771929824561,35.08771929824561,11.11111111111111,29.629629629629626,29.629629629629626,50.0
11,Honey Tree LR AIO Disposable Vape - Jet Fuel - Hybrid - 1mL,5,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,41.85,100.0,20.0,30.76923076923077,30.76923076923077,20.0,49.586776859504134,49.586776859504134,50.0
12,Honey Tree LR AIO Disposable Vape - GMO Cookies - Indica Dominant - 1mL,1,Honey Beltz Live Resin 1.0g,55.10,100.0,25.0,45.16129032258065,45.16129032258065,10.0,36.73469387755102,36.73469387755102,50.0
12,Honey Tree LR AIO Disposable Vape - GMO Cookies - Indica Dominant - 1mL,2,Ice Cream Cake Honey Crystal 1.0g,46.42,100.0,16.666666666666664,38.35616438356164,38.35616438356164,10.0,28.846153846153843,28.846153846153843,50.0
12,Honey Tree LR AIO Disposable Vape - GMO Cookies - Indica Dominant - 1mL,3,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,46.15,100.0,0.0,38.095238095238095,38.095238095238095,0.0,34.78260869565217,34.78260869565217,50.0
12,Honey Tree LR AIO Disposable Vape - GMO Cookies - Indica Dominant - 1mL,4,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,45.70,100.0,0.0,37.64705882352941,37.64705882352941,0.0,32.758620689655174,32.758620689655174,50.0
12,Honey Tree LR AIO Disposable Vape - GMO Cookies - Indica Dominant - 1mL,5,GMO Honey Crystal 1.0g,45.55,100.0,55.0,32.25806451612904,32.25806451612904,20.0,25.806451612903224,25.806451612903224,50.0
13,Honey Tree LR AIO Disposable Vape - Fruit Loops - Indica Dominant - 1mL,1,Honey Beltz Live Resin 1.0g,55.10,100.0,25.0,45.16129032258065,45.16129032258065,10.0,36.73469387755102,36.73469387755102,50.0
13,Honey Tree LR AIO Disposable Vape - Fruit Loops - Indica Dominant - 1mL,2,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,45.70,100.0,0.0,37.64705882352941,37.64705882352941,0.0,31.034482758620683,31.034482758620683,50.0
13,Honey Tree LR AIO Disposable Vape - Fruit Loops - Indica Dominant - 1mL,3,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,44.41,100.0,0.0,36.36363636363637,36.36363636363637,0.0,28.828828828828833,28.828828828828833,50.0
13,Honey Tree LR AIO Disposable Vape - Fruit Loops - Indica Dominant - 1mL,4,Watermelon Crush Sugar Cone *2 Pack* 1.0g,43.95,100.0,0.0,35.89743589743589,35.89743589743589,0.0,28.57142857142857,28.57142857142857,50.0
13,Honey Tree LR AIO Disposable Vape - Fruit Loops - Indica Dominant - 1mL,5,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,43.77,100.0,0.0,35.71428571428571,35.71428571428571,0.0,34.78260869565217,34.78260869565217,50.0
14,Honey Tree LR AIO Disposable Vape - Gelato 47 - Hybrid - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,95.00,100.0,20.0,30.76923076923077,30.76923076923077,20.0,50.81967213114754,50.81967213114754,50.0
14,Honey Tree LR AIO Disposable Vape - Gelato 47 - Hybrid - 1mL,2,Fried Strawberry Honey Crystal 1.0g,0.00,100.0,20.0,31.428571428571427,31.428571428571427,12.5,25.263157894736842,25.263157894736842,50.0
14,Honey Tree LR AIO Disposable Vape - Gelato 47 - Hybrid - 1mL,3,Gello Shotz Honey Crystal 1.0g,0.00,100.0,20.0,30.76923076923077,30.76923076923077,12.5,26.66666666666667,26.66666666666667,50.0
14,Honey Tree LR AIO Disposable Vape - Gelato 47 - Hybrid - 1mL,4,Fried Ice Cream Honey Crystal 1.0g,0.00,100.0,16.666666666666664,34.78260869565217,34.78260869565217,12.5,29.78723404255319,29.78723404255319,50.0
14,Honey Tree LR AIO Disposable Vape - Gelato 47 - Hybrid - 1mL,5,GMO Honey Crystal 1.0g,0.00,100.0,25.0,35.08771929824561,35.08771929824561,12.5,29.268292682926834,29.268292682926834,50.0
15,Honey Tree LR AIO Disposable Vape - Strawberry Fields - Sativa Dominant - 1mL,1,Fried Strawberry Honey Crystal 1.0g,57.76,100.0,40.0,44.44444444444444,44.44444444444444,20.0,37.5,37.5,50.0
15,Honey Tree LR AIO Disposable Vape - Strawberry Fields - Sativa Dominant - 1mL,2,Honey Beltz Live Resin 1.0g,54.01,100.0,25.0,44.11764705882353,44.11764705882353,10.0,34.61538461538461,34.61538461538461,50.0
15,Honey Tree LR AIO Disposable Vape - Strawberry Fields - Sativa Dominant - 1mL,3,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,45.41,100.0,0.0,37.362637362637365,37.362637362637365,0.0,31.147540983606557,31.147540983606557,50.0
15,Honey Tree LR AIO Disposable Vape - Strawberry Fields - Sativa Dominant - 1mL,4,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,43.61,100.0,0.0,35.55555555555555,35.55555555555555,0.0,33.057851239669425,33.057851239669425,50.0
15,Honey Tree LR AIO Disposable Vape - Strawberry Fields - Sativa Dominant - 1mL,5,GMO Honey Crystal 1.0g,43.36,100.0,25.0,35.29411764705882,35.29411764705882,10.0,26.262626262626267,26.262626262626267,50.0
16,Honey Tree Flavored AIO Disposable Vape - Golden Pineapple - Sativa - 1mL,1,Golden Pineapple Live Resin Vaporizer 1.0g,84.85,100.0,50.0,50.0,50.0,20.0,38.26086956521739,38.26086956521739,50.0
16,Honey Tree Flavored AIO Disposable Vape - Golden Pineapple - Sativa - 1mL,2,Pineapple Express Honey Crystal 1.0g,48.53,100.0,40.0,35.29411764705882,35.29411764705882,20.0,33.02752293577982,33.02752293577982,50.0
16,Honey Tree Flavored AIO Disposable Vape - Golden Pineapple - Sativa - 1mL,3,Ice Cream Cake Honey Crystal 1.0g,47.09,100.0,16.666666666666664,39.02439024390244,39.02439024390244,10.0,32.07547169811321,32.07547169811321,50.0
16,Honey Tree Flavored AIO Disposable Vape - Golden Pineapple - Sativa - 1mL,4,Honey Beltz Live Resin 1.0g,44.69,100.0,25.0,36.61971830985915,36.61971830985915,10.0,34.0,34.0,50.0
16,Honey Tree Flavored AIO Disposable Vape - Golden Pineapple - Sativa - 1mL,5,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,44.61,100.0,0.0,36.55913978494624,36.55913978494624,0.0,35.89743589743589,35.89743589743589,50.0
17,Honey Tree Flavored AIO Disposable Vape -  Watermelon Zkittles - Indica - 1mL,1,Honey Beltz Live Resin 1.0g,50.40,100.0,25.0,40.54054054054054,40.54054054054054,10.0,32.692307692307686,32.692307692307686,50.0
17,Honey Tree Flavored AIO Disposable Vape -  Watermelon Zkittles - Indica - 1mL,2,Watermelon Crush Sugar Cone *2 Pack* 1.0g,45.84,100.0,16.666666666666664,37.77777777777778,37.77777777777778,10.0,30.508474576271183,30.508474576271183,50.0
17,Honey Tree Flavored AIO Disposable Vape -  Watermelon Zkittles - Indica - 1mL,3,Nectarine Jelly Liquid Diamond Vaporizer 1.0g,45.16,100.0,0.0,37.11340206185567,37.11340206185567,0.0,31.147540983606557,31.147540983606557,50.0
17,Honey Tree Flavored AIO Disposable Vape -  Watermelon Zkittles - Indica - 1mL,4,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,44.01,100.0,0.0,35.95505617977528,35.95505617977528,0.0,30.76923076923077,30.76923076923077,50.0
17,Honey Tree Flavored AIO Disposable Vape -  Watermelon Zkittles - Indica - 1mL,5,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,43.47,100.0,0.0,35.416666666666664,35.416666666666664,0.0,34.71074380165289,34.71074380165289,50.0
18,Ultra Pure Vape -  Peach Crescendo Live Resin - Hybrid - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,52.63,100.0,20.0,31.25,31.25,40.0,40.98360655737705,40.98360655737705,50.0
18,Ultra Pure Vape -  Peach Crescendo Live Resin - Hybrid - 1mL,2,Blue Dream Cured Resin Vaporizer 1.0g,48.51,100.0,20.0,40.0,40.0,11.11111111111111,45.36082474226804,45.36082474226804,50.0
18,Ultra Pure Vape -  Peach Crescendo Live Resin - Hybrid - 1mL,3,Papaya Juice Live Resin 1.0g,47.06,100.0,20.0,35.08771929824561,35.08771929824561,22.22222222222222,45.45454545454546,45.45454545454546,50.0
18,Ultra Pure Vape -  Peach Crescendo Live Resin - Hybrid - 1mL,4,Runtz Cured Resin Vaporizer 1.0g,44.74,100.0,20.0,36.66666666666667,36.66666666666667,11.11111111111111,36.95652173913043,36.95652173913043,50.0
18,Ultra Pure Vape -  Peach Crescendo Live Resin - Hybrid - 1mL,5,Runtz Live Resin 1.0g,43.97,100.0,20.0,31.999999999999996,31.999999999999996,22.22222222222222,37.03703703703704,37.03703703703704,50.0
19,Ultra Pure Vape - Dutch Treat Live Resin - Sativa Dominant - 1mL,1,Runtz Live Resin 1.0g,48.83,100.0,20.0,37.5,37.5,20.0,35.29411764705882,35.29411764705882,50.0
19,Ultra Pure Vape - Dutch Treat Live Resin - Sativa Dominant - 1mL,2,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,48.64,100.0,20.0,29.032258064516125,29.032258064516125,40.0,44.44444444444444,44.44444444444444,50.0
19,Ultra Pure Vape - Dutch Treat Live Resin - Sativa Dominant - 1mL,3,Papaya Juice Live Resin 1.0g,47.70,100.0,20.0,36.36363636363637,36.36363636363637,20.0,43.47826086956522,43.47826086956522,50.0
19,Ultra Pure Vape - Dutch Treat Live Resin - Sativa Dominant - 1mL,4,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,45.73,100.0,0.0,37.68115942028986,37.68115942028986,0.0,32.692307692307686,32.692307692307686,50.0
19,Ultra Pure Vape - Dutch Treat Live Resin - Sativa Dominant - 1mL,5,Fried Ice Cream Honey Crystal 1.0g,44.42,100.0,0.0,36.36363636363637,36.36363636363637,0.0,32.6530612244898,32.6530612244898,50.0
20,Ultra Pure Vape - Super Silver Haze Live Resin - Sativa Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,47.54,100.0,20.0,29.411764705882348,29.411764705882348,36.36363636363637,40.90909090909091,40.90909090909091,50.0
20,Ultra Pure Vape - Super Silver Haze Live Resin - Sativa Dominant - 1mL,2,Lemon Slushie Live Resin Vaporizer 1.0g,46.72,100.0,20.0,36.36363636363637,36.36363636363637,18.181818181818183,42.201834862385326,42.201834862385326,50.0
20,Ultra Pure Vape - Super Silver Haze Live Resin - Sativa Dominant - 1mL,3,Grape Gas Honey Crystal 1.0g,44.41,100.0,0.0,36.36363636363637,36.36363636363637,0.0,28.57142857142857,28.57142857142857,50.0
20,Ultra Pure Vape - Super Silver Haze Live Resin - Sativa Dominant - 1mL,4,Papaya Juice Live Resin 1.0g,43.14,100.0,20.0,32.786885245901644,32.786885245901644,18.181818181818183,40.816326530612244,40.816326530612244,50.0
20,Ultra Pure Vape - Super Silver Haze Live Resin - Sativa Dominant - 1mL,5,Blueberry Pancakes Liquid Diamond Vaporizer 1.0g,42.94,100.0,0.0,34.883720930232556,34.883720930232556,0.0,35.59322033898306,35.59322033898306,50.0
21,Ultra Pure Vape - Skywalker OG Live Resin - Indica Dominant - 1mL,1,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,48.17,100.0,20.0,28.57142857142857,28.57142857142857,40.0,42.51968503937008,42.51968503937008,50.0
21,Ultra Pure Vape - Skywalker OG Live Resin - Indica Dominant - 1mL,2,Jet Fuel Gelato Sugar Cone *2 Pack* 1.0g,42.34,100.0,0.0,34.285714285714285,34.285714285714285,0.0,32.38095238095238,32.38095238095238,50.0
21,Ultra Pure Vape - Skywalker OG Live Resin - Indica Dominant - 1mL,3,Watermelon Crush Sugar Cone *2 Pack* 1.0g,41.85,100.0,0.0,33.80281690140845,33.80281690140845,0.0,28.301886792452834,28.301886792452834,50.0
21,Ultra Pure Vape - Skywalker OG Live Resin - Indica Dominant - 1mL,4,Ice Cream Cake Liquid Diamond Vaporizer 1.0g,41.82,100.0,0.0,33.76623376623377,33.76623376623377,0.0,38.53211009174312,38.53211009174312,50.0
21,Ultra Pure Vape - Skywalker OG Live Resin - Indica Dominant - 1mL,5,Lemon Slushie Live Resin Vaporizer 1.0g,41.48,100.0,20.0,29.508196721311474,29.508196721311474,22.22222222222222,42.307692307692314,42.307692307692314,50.0
22,Bodhi Original Vape - Strawberry Cough Live Resin - Sativa Dominant - 1mL,1,Fried Strawberry Honey Crystal 1.0g,56.93,100.0,20.0,46.913580246913575,46.913580246913575,10.0,42.592592592592595,42.592592592592595,50.0
22,Bodhi Original Vape - Strawberry Cough Live Resin - Sativa Dominant - 1mL,2,Alien Runtz Pure Live Resin Disposable Vape by Bodhi High 1.0g,55.51,100.0,16.666666666666664,34.210526315789465,34.210526315789465,40.0,38.51851851851852,38.51851851851852,50.0
22,Bodhi Original Vape - Strawberry Cough Live Resin - Sativa Dominant - 1mL,3,Golden Pineapple Live Resin Vaporizer 1.0g,44.85,100.0,20.0,33.76623376623377,33.76623376623377,20.0,43.47826086956522,43.47826086956522,50.0
